tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
4.75,90.0,4.0,4.0,0.502516026695107,0.7156170755570532,1.6789334926751607,all
5.0,70.0,-4.0,-4.0,0.28623533279101954,1.098145497385571,1.6631367645473998,all
5.0,70.0,-4.0,0.0,0.24481349843957018,0.9012403305404285,1.5467791175650611,all
5.0,70.0,-4.0,4.0,0.23654952047347505,0.8667512602089121,1.4982975270192411,all
5.0,70.0,0.0,-4.0,0.16885135132219764,0.778889274796271,1.354871791675419,all
5.0,70.0,0.0,0.0,0.16646650317492975,0.7641308246488238,1.3297994452379414,all
5.0,70.0,0.0,4.0,0.16522752114601832,0.7571219232590102,1.315413547355458,all
5.0,70.0,4.0,-4.0,0.1353630088264575,0.7091995017151441,1.2302310175581872,all
5.0,70.0,4.0,0.0,0.13490198967359016,0.7060071875103329,1.2219899019454206,all
5.0,70.0,4.0,4.0,0.13457250409766666,0.7038291242605191,1.2158711050711273,all
5.0,80.0,-4.0,-4.0,0.5253120541174376,0.9900194059920939,2.024645255006388,all
5.0,80.0,-4.0,0.0,0.4828395094989414,0.8836849292221386,1.8826877254424832,all
5.0,80.0,-4.0,4.0,0.46921361084595364,0.8531957660459872,1.8085839693029966,all
5.0,80.0,0.0,-4.0,0.3775371242502887,0.8011855216138338,1.6839450370232727,all
5.0,80.0,0.0,0.0,0.37114909484237135,0.7828694364484583,1.635059747438744,all
5.0,80.0,0.0,4.0,0.36757293010113107,0.7733908238391335,1.6051285183106532,all
5.0,80.0,4.0,-4.0,0.3148299609605108,0.7349121128479839,1.5121758531486502,all
5.0,80.0,4.0,0.0,0.31306589234036775,0.7294571910433562,1.4922414710246696,all
5.0,80.0,4.0,4.0,0.3117990496154752,0.7257188038824983,1.4774146580272847,all
5.0,90.0,-4.0,-4.0,0.7286993266183315,0.8748148050455202,2.3464951699376466,all
5.0,90.0,-4.0,0.0,0.6995859946977301,0.8207545286514305,2.1950271533235526,all
5.0,90.0,-4.0,4.0,0.6868382026676003,0.7994134233248628,2.0986912812437404,all
5.0,90.0,0.0,-4.0,0.6145699381852774,0.7802501830206661,2.0123489309184857,all
5.0,90.0,0.0,0.0,0.6056123621623252,0.7634772199595913,1.9375294517406878,all
5.0,90.0,0.0,4.0,0.6001987713095998,0.7540367917371306,1.8887742969611898,all
5.0,90.0,4.0,-4.0,0.5450313156947298,0.7314547482634585,1.805227406236003,all
5.0,90.0,4.0,0.0,0.541537712474896,0.7248240752453962,1.7688944362422154,all
5.0,90.0,4.0,4.0,0.538991442965883,0.720208258455639,1.741575775780993,all
5.25,70.0,-4.0,-4.0,0.3880656302637766,1.2797086354192144,1.7321542190105599,all
5.25,70.0,-4.0,0.0,0.29869009868005003,0.9428121880094702,1.6500260964504354,all
5.25,70.0,-4.0,4.0,0.28501058711397337,0.8946864936383361,1.5829410795081327,all
5.25,70.0,0.0,-4.0,0.19778096229017178,0.8015570590335265,1.4235988103156205,all
5.25,70.0,0.0,0.0,0.19382339091410283,0.7798486860849797,1.3881843282352828,all
5.25,70.0,0.0,4.0,0.19196906602278635,0.7706700728590935,1.3692834271686731,all
5.25,70.0,4.0,-4.0,0.1554863342373121,0.7186307025105458,1.2744417217093515,all
5.25,70.0,4.0,0.0,0.15481057151242822,0.7144776064708895,1.2637073679564688,all
5.25,70.0,4.0,4.0,0.1543467505184649,0.7117723651143493,1.2560209090590486,all
5.25,80.0,-4.0,-4.0,0.6152361149403288,1.0605104414487359,2.119868863736492,all
5.25,80.0,-4.0,0.0,0.5475561621837679,0.9070046183799978,1.9934961120271129,all
5.25,80.0,-4.0,4.0,0.5285801375273811,0.8681517204464798,1.898619074262381,all
